"segment_id","amendment_number","amendment_roman","source_object_id","source_path","source_line","amendment_segment_ordinal","section_number","segment_class","source_text","extraction_status","interpretation_status"
"US-AM-SEG-000085","20","XX","CONST.AMENDMENT.20","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","498","7","2","OPERATIVE_TEXT","The Congress shall assemble at least once in every year, and such meeting shall begin at noon on the 3d day of January, unless they shall by law appoint a different day.","EXTRACTED","NONE"
"US-AM-SEG-000086","20","XX","CONST.AMENDMENT.20","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","500","8","3","SECTION_LABEL","Section 3.","EXTRACTED","NONE"
"US-AM-SEG-000087","20","XX","CONST.AMENDMENT.20","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","502","9","3","OPERATIVE_TEXT","If, at the time fixed for the beginning of the term of the President, the President elect shall have died, the Vice President elect shall become President. If a President shall not have been chosen before the time fixed for the beginning of his term, or if the President elect shall have failed to qualify, then the Vice President elect shall act as President until a President shall have qualified; and the Congress may by law provide for the case wherein neither a President elect nor a Vice President elect shall have qualified, declaring who shall then act as President, or the manner in which one who is to act shall be selected, and such person shall act accordingly until a President or Vice President shall have qualified.","EXTRACTED","NONE"
"US-AM-SEG-000088","20","XX","CONST.AMENDMENT.20","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","504","10","4","SECTION_LABEL","Section 4.","EXTRACTED","NONE"
"US-AM-SEG-000089","20","XX","CONST.AMENDMENT.20","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","506","11","4","OPERATIVE_TEXT","The Congress may by law provide for the case of the death of any of the persons from whom the House of Representatives may choose a President whenever the right of choice shall have devolved upon them, and for the case of the death of any of the persons from whom the Senate may choose a Vice President whenever the right of choice shall have devolved upon them.","EXTRACTED","NONE"
"US-AM-SEG-000090","20","XX","CONST.AMENDMENT.20","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","508","12","5","SECTION_LABEL","Section 5.","EXTRACTED","NONE"
"US-AM-SEG-000091","20","XX","CONST.AMENDMENT.20","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","510","13","5","OPERATIVE_TEXT","Sections 1 and 2 shall take effect on the 15th day of October following the ratification of this article.","EXTRACTED","NONE"
"US-AM-SEG-000092","20","XX","CONST.AMENDMENT.20","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","512","14","6","SECTION_LABEL","Section 6.","EXTRACTED","NONE"
"US-AM-SEG-000093","20","XX","CONST.AMENDMENT.20","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","514","15","6","OPERATIVE_TEXT","This article shall be inoperative unless it shall have been ratified as an amendment to the Constitution by the legislatures of three-fourths of the several States within seven years from the date of its submission.","EXTRACTED","NONE"
"US-AM-SEG-000094","21","XXI","CONST.AMENDMENT.21","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","516","1","","HEADING","AMENDMENT XXI","EXTRACTED","NONE"
"US-AM-SEG-000095","21","XXI","CONST.AMENDMENT.21","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","518","2","","RATIFICATION_METADATA","Passed by Congress February 20, 1933. Ratified December 5, 1933.","EXTRACTED","NONE"
"US-AM-SEG-000096","21","XXI","CONST.AMENDMENT.21","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","520","3","1","SECTION_LABEL","Section 1.","EXTRACTED","NONE"
